,GeneID,Symbol,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene
4442,5549,PRELP,MST161|MSTP161|SLRR2A,MIM:601914|HGNC:HGNC:9357|Ensembl:ENSG00000188783,1,1q32.1,proline and arginine rich end leucine rich repeat protein,protein-coding
4443,5550,PREP,PE|PEP,MIM:600400|HGNC:HGNC:9358|Ensembl:ENSG00000085377,6,6q21,prolyl endopeptidase,protein-coding
4444,5551,PRF1,HPLH2|P1|PFP,MIM:170280|HGNC:HGNC:9360|Ensembl:ENSG00000180644,10,10q22.1,perforin 1,protein-coding
4445,5552,SRGN,PPG|PRG|PRG1,MIM:177040|HGNC:HGNC:9361|Ensembl:ENSG00000122862,10,10q22.1,serglycin,protein-coding
4446,5553,PRG2,BMPG|MBP|MBP1|proMBP,MIM:605601|HGNC:HGNC:9362|Ensembl:ENSG00000186652,11,11q12.1,"proteoglycan 2, pro eosinophil major basic protein",protein-coding
4447,5554,PRH1,Db-s|PA|PIF-S|PRH2|Pr1/Pr2,MIM:168730|HGNC:HGNC:9366|Ensembl:ENSG00000231887,12,12p13.2,proline rich protein HaeIII subfamily 1,protein-coding
4448,5555,PRH2,PRP-1/PRP-2|Pr|pr1/Pr2,MIM:168790|HGNC:HGNC:9367|Ensembl:ENSG00000134551,12,12p13.2,proline rich protein HaeIII subfamily 2,protein-coding
4449,5557,PRIM1,p49,MIM:176635|HGNC:HGNC:9369|Ensembl:ENSG00000198056,12,12q13.3,DNA primase subunit 1,protein-coding
4450,5558,PRIM2,PRIM2A|p58,MIM:176636|HGNC:HGNC:9370|Ensembl:ENSG00000146143,6,6p11.2,DNA primase subunit 2,protein-coding
4451,5562,PRKAA1,AMPK|AMPKa1,MIM:602739|HGNC:HGNC:9376|Ensembl:ENSG00000132356,5,5p13.1,protein kinase AMP-activated catalytic subunit alpha 1,protein-coding
4452,5563,PRKAA2,AMPK|AMPK2|AMPKa2|PRKAA,MIM:600497|HGNC:HGNC:9377|Ensembl:ENSG00000162409,1,1p32.2,protein kinase AMP-activated catalytic subunit alpha 2,protein-coding
4453,5564,PRKAB1,AMPK|HAMPKb,MIM:602740|HGNC:HGNC:9378|Ensembl:ENSG00000111725,12,12q24.23,protein kinase AMP-activated non-catalytic subunit beta 1,protein-coding
4454,5565,PRKAB2,-,MIM:602741|HGNC:HGNC:9379|Ensembl:ENSG00000131791,1,1q21.1,protein kinase AMP-activated non-catalytic subunit beta 2,protein-coding
4455,5566,PRKACA,PKACA|PPNAD4,MIM:601639|HGNC:HGNC:9380|Ensembl:ENSG00000072062,19,19p13.12,protein kinase cAMP-activated catalytic subunit alpha,protein-coding
4456,5567,PRKACB,PKA C-beta|PKACB,MIM:176892|HGNC:HGNC:9381|Ensembl:ENSG00000142875,1,1p31.1,protein kinase cAMP-activated catalytic subunit beta,protein-coding
4457,5568,PRKACG,BDPLT19|KAPG|PKACg,MIM:176893|HGNC:HGNC:9382|Ensembl:ENSG00000165059,9,9q21.11,protein kinase cAMP-activated catalytic subunit gamma,protein-coding
4458,5569,PKIA,PRKACN1,MIM:606059|HGNC:HGNC:9017|Ensembl:ENSG00000171033,8,8q21.13,cAMP-dependent protein kinase inhibitor alpha,protein-coding
4459,5570,PKIB,PRKACN2,MIM:606914|HGNC:HGNC:9018|Ensembl:ENSG00000135549,6,6q22.31,cAMP-dependent protein kinase inhibitor beta,protein-coding
4460,5571,PRKAG1,AMPKG,MIM:602742|HGNC:HGNC:9385|Ensembl:ENSG00000181929,12,12q13.12,protein kinase AMP-activated non-catalytic subunit gamma 1,protein-coding
4461,5573,PRKAR1A,ACRDYS1|ADOHR|CAR|CNC|CNC1|PKR1|PPNAD1|PRKAR1|TSE1,MIM:188830|HGNC:HGNC:9388|Ensembl:ENSG00000108946,17,17q24.2,protein kinase cAMP-dependent type I regulatory subunit alpha,protein-coding
4463,5575,PRKAR1B,PRKAR1,MIM:176911|HGNC:HGNC:9390|Ensembl:ENSG00000188191,7,7p22.3,protein kinase cAMP-dependent type I regulatory subunit beta,protein-coding
4464,5576,PRKAR2A,PKR2|PRKAR2,MIM:176910|HGNC:HGNC:9391|Ensembl:ENSG00000114302,3,3p21.31,protein kinase cAMP-dependent type II regulatory subunit alpha,protein-coding
4465,5577,PRKAR2B,PRKAR2|RII-BETA,MIM:176912|HGNC:HGNC:9392|Ensembl:ENSG00000005249,7,7q22.3,protein kinase cAMP-dependent type II regulatory subunit beta,protein-coding
4466,5578,PRKCA,AAG6|PKC-alpha|PKCA|PKCI+/-|PKCalpha|PRKACA,MIM:176960|HGNC:HGNC:9393|Ensembl:ENSG00000154229,17,17q24.2,protein kinase C alpha,protein-coding
4467,5579,PRKCB,PKC-beta|PKCB|PKCI(2)|PKCbeta|PRKCB1|PRKCB2,MIM:176970|HGNC:HGNC:9395|Ensembl:ENSG00000166501,16,16p12.2-p12.1,protein kinase C beta,protein-coding
4468,5580,PRKCD,ALPS3|CVID9|MAY1|PKCD|nPKC-delta,MIM:176977|HGNC:HGNC:9399|Ensembl:ENSG00000163932,3,3p21.1,protein kinase C delta,protein-coding
4469,5581,PRKCE,PKCE|nPKC-epsilon,MIM:176975|HGNC:HGNC:9401|Ensembl:ENSG00000171132,2,2p21,protein kinase C epsilon,protein-coding
4470,5582,PRKCG,PKC-gamma|PKCC|PKCG|PKCI(3)|PKCgamma|SCA14,MIM:176980|HGNC:HGNC:9402|Ensembl:ENSG00000126583,19,19q13.42,protein kinase C gamma,protein-coding
4471,5583,PRKCH,PKC-L|PKCL|PRKCL|nPKC-eta,MIM:605437|HGNC:HGNC:9403|Ensembl:ENSG00000027075,14,14q23.1,protein kinase C eta,protein-coding
4472,5584,PRKCI,DXS1179E|PKCI|nPKC-iota,MIM:600539|HGNC:HGNC:9404|Ensembl:ENSG00000163558,3,3q26.2,protein kinase C iota,protein-coding
4473,5585,PKN1,DBK|PAK-1|PAK1|PKN|PKN-ALPHA|PRK1|PRKCL1,MIM:601032|HGNC:HGNC:9405|Ensembl:ENSG00000123143,19,19p13.12,protein kinase N1,protein-coding
4474,5586,PKN2,PAK2|PRK2|PRKCL2|PRO2042|Pak-2|STK7,MIM:602549|HGNC:HGNC:9406|Ensembl:ENSG00000065243,1,1p22.2,protein kinase N2,protein-coding
4475,5587,PRKD1,CHDED|PKC-MU|PKCM|PKD|PRKCM,MIM:605435|HGNC:HGNC:9407|Ensembl:ENSG00000184304,14,14q12,protein kinase D1,protein-coding
4476,5588,PRKCQ,PRKCT|nPKC-theta,MIM:600448|HGNC:HGNC:9410|Ensembl:ENSG00000065675,10,10p15.1,protein kinase C theta,protein-coding
4477,5589,PRKCSH,AGE-R2|G19P1|GIIB|PCLD|PCLD1|PKCSH|PLD1|VASAP-60,MIM:177060|HGNC:HGNC:9411|Ensembl:ENSG00000130175,19,19p13.2,protein kinase C substrate 80K-H,protein-coding
4478,5590,PRKCZ,PKC-ZETA|PKC2,MIM:176982|HGNC:HGNC:9412|Ensembl:ENSG00000067606,1,1p36.33,protein kinase C zeta,protein-coding
4479,5591,PRKDC,DNA-PKC|DNA-PKcs|DNAPK|DNAPKc|DNPK1|HYRC|HYRC1|IMD26|XRCC7|p350,MIM:600899|HGNC:HGNC:9413|Ensembl:ENSG00000253729,8,8q11.21,"protein kinase, DNA-activated, catalytic subunit",protein-coding
4480,5592,PRKG1,AAT8|PKG|PKG1|PRKG1B|PRKGR1B|cGK|cGK 1|cGK1|cGKI|cGKI-BETA|cGKI-alpha,MIM:176894|HGNC:HGNC:9414|Ensembl:ENSG00000185532,10,10q11.23-q21.1,protein kinase cGMP-dependent 1,protein-coding
4481,5593,PRKG2,PKG2|PRKGR2|cGK2|cGKII,MIM:601591|HGNC:HGNC:9416|Ensembl:ENSG00000138669,4,4q21.21,protein kinase cGMP-dependent 2,protein-coding
4482,5594,MAPK1,ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK,MIM:176948|HGNC:HGNC:6871|Ensembl:ENSG00000100030,22,22q11.22,mitogen-activated protein kinase 1,protein-coding
4483,5595,MAPK3,ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK,MIM:601795|HGNC:HGNC:6877|Ensembl:ENSG00000102882,16,16p11.2,mitogen-activated protein kinase 3,protein-coding
4484,5596,MAPK4,ERK-4|ERK4|PRKM4|p63-MAPK|p63MAPK,MIM:176949|HGNC:HGNC:6878|Ensembl:ENSG00000141639,18,18q21.1-q21.2,mitogen-activated protein kinase 4,protein-coding
4485,5597,MAPK6,ERK3|HsT17250|PRKM6|p97MAPK,MIM:602904|HGNC:HGNC:6879|Ensembl:ENSG00000069956,15,15q21.2,mitogen-activated protein kinase 6,protein-coding
4486,5598,MAPK7,BMK1|ERK4|ERK5|PRKM7,MIM:602521|HGNC:HGNC:6880|Ensembl:ENSG00000166484,17,17p11.2,mitogen-activated protein kinase 7,protein-coding
4487,5599,MAPK8,JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c,MIM:601158|HGNC:HGNC:6881|Ensembl:ENSG00000107643,10,10q11.22,mitogen-activated protein kinase 8,protein-coding
4488,5600,MAPK11,P38B|P38BETA2|PRKM11|SAPK2|SAPK2B|p38-2|p38Beta,MIM:602898|HGNC:HGNC:6873|Ensembl:ENSG00000185386,22,22q13.33,mitogen-activated protein kinase 11,protein-coding
4489,5601,MAPK9,JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK,MIM:602896|HGNC:HGNC:6886|Ensembl:ENSG00000050748,5,5q35.3,mitogen-activated protein kinase 9,protein-coding
4490,5602,MAPK10,JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK,MIM:602897|HGNC:HGNC:6872|Ensembl:ENSG00000109339,4,4q21.3,mitogen-activated protein kinase 10,protein-coding
4491,5603,MAPK13,MAPK 13|MAPK-13|PRKM13|SAPK4|p38delta,MIM:602899|HGNC:HGNC:6875|Ensembl:ENSG00000156711,6,6p21.31,mitogen-activated protein kinase 13,protein-coding
4492,5604,MAP2K1,CFC3|MAPKK1|MEK1|MKK1|PRKMK1,MIM:176872|HGNC:HGNC:6840|Ensembl:ENSG00000169032,15,15q22.31,mitogen-activated protein kinase kinase 1,protein-coding
4493,5605,MAP2K2,CFC4|MAPKK2|MEK2|MKK2|PRKMK2,MIM:601263|HGNC:HGNC:6842|Ensembl:ENSG00000126934,19,19p13.3,mitogen-activated protein kinase kinase 2,protein-coding
4494,5606,MAP2K3,MAPKK3|MEK3|MKK3|PRKMK3|SAPKK-2|SAPKK2,MIM:602315|HGNC:HGNC:6843|Ensembl:ENSG00000034152,17,17p11.2,mitogen-activated protein kinase kinase 3,protein-coding
4495,5607,MAP2K5,HsT17454|MAPKK5|MEK5|PRKMK5,MIM:602520|HGNC:HGNC:6845|Ensembl:ENSG00000137764,15,15q23,mitogen-activated protein kinase kinase 5,protein-coding
4496,5608,MAP2K6,MAPKK6|MEK6|MKK6|PRKMK6|SAPKK-3|SAPKK3,MIM:601254|HGNC:HGNC:6846|Ensembl:ENSG00000108984,17,17q24.3,mitogen-activated protein kinase kinase 6,protein-coding
4497,5609,MAP2K7,JNKK2|MAPKK7|MEK|MEK 7|MKK7|PRKMK7|SAPKK-4|SAPKK4,MIM:603014|HGNC:HGNC:6847|Ensembl:ENSG00000076984,19,19p13.2,mitogen-activated protein kinase kinase 7,protein-coding
4498,5610,EIF2AK2,EIF2AK1|PKR|PPP1R83|PRKR,MIM:176871|HGNC:HGNC:9437|Ensembl:ENSG00000055332,2,2p22.2,eukaryotic translation initiation factor 2 alpha kinase 2,protein-coding
4499,5611,DNAJC3,ACPHD|ERdj6|HP58|P58|P58IPK|PRKRI,MIM:601184|HGNC:HGNC:9439|Ensembl:ENSG00000102580,13,13q32.1,DnaJ heat shock protein family (Hsp40) member C3,protein-coding
4500,5612,THAP12,DAP4|P52rIPK|PRKRIR|THAP0,MIM:607374|HGNC:HGNC:9440|Ensembl:ENSG00000137492,11,11q13.5,THAP domain containing 12,protein-coding
4501,5613,PRKX,PKX1,MIM:300083|HGNC:HGNC:9441|Ensembl:ENSG00000183943,X,Xp22.33,protein kinase X-linked,protein-coding
4503,5616,PRKY,PRKXP3|PRKYP,MIM:400008|HGNC:HGNC:9444|Ensembl:ENSG00000099725,Y,Yp11.2,protein kinase Y-linked (pseudogene),pseudo
4504,5617,PRL,GHA1,MIM:176760|HGNC:HGNC:9445|Ensembl:ENSG00000172179,6,6p22.3,prolactin,protein-coding
4505,5618,PRLR,HPRL|MFAB|RI-PRLR|hPRLrI,MIM:176761|HGNC:HGNC:9446|Ensembl:ENSG00000113494,5,5p13.2,prolactin receptor,protein-coding
4506,5619,PRM1,CT94.1|P1,MIM:182880|HGNC:HGNC:9447|Ensembl:ENSG00000175646,16,16p13.13,protamine 1,protein-coding
4507,5620,PRM2,CT94.2,MIM:182890|HGNC:HGNC:9448|Ensembl:ENSG00000122304,16,16p13.13,protamine 2,protein-coding
4508,5621,PRNP,ASCR|AltPrP|CD230|CJD|GSS|KURU|PRIP|PrP|PrP27-30|PrP33-35C|PrPc|p27-30,MIM:176640|HGNC:HGNC:9449|Ensembl:ENSG00000171867,20,20p13,prion protein,protein-coding
4509,5623,PSPN,PSP,MIM:602921|HGNC:HGNC:9579|Ensembl:ENSG00000125650,19,19p13.3,persephin,protein-coding
4510,5624,PROC,APC|PC|PROC1|THPH3|THPH4,MIM:612283|HGNC:HGNC:9451|Ensembl:ENSG00000115718,2,2q14.3,"protein C, inactivator of coagulation factors Va and VIIIa",protein-coding
4511,5625,PRODH,HSPOX2|PIG6|POX|PRODH1|PRODH2|TP53I6,MIM:606810|HGNC:HGNC:9453|Ensembl:ENSG00000100033,22,22q11.21,proline dehydrogenase 1,protein-coding
4512,5626,PROP1,CPHD2|PROP-1,MIM:601538|HGNC:HGNC:9455|Ensembl:ENSG00000175325,5,5q35.3,PROP paired-like homeobox 1,protein-coding
4513,5627,PROS1,PROS|PS21|PS22|PS23|PS24|PS25|PSA|THPH5|THPH6,MIM:176880|HGNC:HGNC:9456|Ensembl:ENSG00000184500,3,3q11.1,protein S,protein-coding
4515,5629,PROX1,-,MIM:601546|HGNC:HGNC:9459|Ensembl:ENSG00000117707,1,1q32.3,prospero homeobox 1,protein-coding
4516,5630,PRPH,NEF4|PRPH1,MIM:170710|HGNC:HGNC:9461|Ensembl:ENSG00000135406,12,12q13.12,peripherin,protein-coding
4517,5631,PRPS1,ARTS|CMTX5|DFN2|DFNX1|PPRibP|PRS-I|PRSI,MIM:311850|HGNC:HGNC:9462|Ensembl:ENSG00000147224,X,Xq22.3,phosphoribosyl pyrophosphate synthetase 1,protein-coding
4518,5634,PRPS2,PRSII,MIM:311860|HGNC:HGNC:9465|Ensembl:ENSG00000101911,X,Xp22.2,phosphoribosyl pyrophosphate synthetase 2,protein-coding
4519,5635,PRPSAP1,PAP39,MIM:601249|HGNC:HGNC:9466|Ensembl:ENSG00000161542,17,17q25.1,phosphoribosyl pyrophosphate synthetase associated protein 1,protein-coding
4520,5636,PRPSAP2,PAP41,MIM:603762|HGNC:HGNC:9467|Ensembl:ENSG00000141127,17,17p11.2,phosphoribosyl pyrophosphate synthetase associated protein 2,protein-coding
4521,5638,PRRG1,PRGP1,MIM:300935|HGNC:HGNC:9469|Ensembl:ENSG00000130962,X,Xp21.1,proline rich and Gla domain 1,protein-coding
4522,5639,PRRG2,PRGP2,MIM:604429|HGNC:HGNC:9470|Ensembl:ENSG00000126460,19,19q13.33,proline rich and Gla domain 2,protein-coding
4524,5641,LGMN,AEP|LGMN1|PRSC1,MIM:602620|HGNC:HGNC:9472|Ensembl:ENSG00000100600,14,14q32.12,legumain,protein-coding
4525,5644,PRSS1,TRP1|TRY1|TRY4|TRYP1,MIM:276000|HGNC:HGNC:9475|Ensembl:ENSG00000204983,7,7q34,serine protease 1,protein-coding
4526,5645,PRSS2,TRY2|TRY8|TRYP2,MIM:601564|HGNC:HGNC:9483|Ensembl:ENSG00000275896,7,7q34,serine protease 2,protein-coding
4527,5646,PRSS3,MTG|PRSS4|T9|TRY3|TRY4,MIM:613578|HGNC:HGNC:9486|Ensembl:ENSG00000010438,9,9p13.3,serine protease 3,protein-coding
4528,5648,MASP1,3MC1|CRARF|CRARF1|MAP1|MASP|MASP3|MAp44|PRSS5|RaRF,MIM:600521|HGNC:HGNC:6901|Ensembl:ENSG00000127241,3,3q27.3,mannan binding lectin serine peptidase 1,protein-coding
4529,5649,RELN,ETL7|LIS2|PRO1598|RL,MIM:600514|HGNC:HGNC:9957|Ensembl:ENSG00000189056,7,7q22.1,reelin,protein-coding
4530,5650,KLK7,PRSS6|SCCE|hK7,MIM:604438|HGNC:HGNC:6368|Ensembl:ENSG00000169035,19,19q13.41,kallikrein related peptidase 7,protein-coding
4531,5651,TMPRSS15,ENTK|PRSS7,MIM:606635|HGNC:HGNC:9490|Ensembl:ENSG00000154646,21,21q21.1,transmembrane serine protease 15,protein-coding
4532,5652,PRSS8,CAP1|PROSTASIN,MIM:600823|HGNC:HGNC:9491|Ensembl:ENSG00000052344,16,16p11.2,serine protease 8,protein-coding
4533,5653,KLK6,Bssp|Klk7|PRSS18|PRSS9|SP59|hK6,MIM:602652|HGNC:HGNC:6367|Ensembl:ENSG00000167755,19,19q13.41,kallikrein related peptidase 6,protein-coding
4534,5654,HTRA1,ARMD7|CADASIL2|CARASIL|HtrA|L56|ORF480|PRSS11,MIM:602194|HGNC:HGNC:9476|Ensembl:ENSG00000166033,10,10q26.13,HtrA serine peptidase 1,protein-coding
4535,5655,KLK10,NES1|PRSSL1,MIM:602673|HGNC:HGNC:6358|Ensembl:ENSG00000129451,19,19q13.41,kallikrein related peptidase 10,protein-coding
4536,5657,PRTN3,ACPA|AGP7|C-ANCA|CANCA|MBN|MBT|NP-4|NP4|P29|PR-3|PR3,MIM:177020|HGNC:HGNC:9495|Ensembl:ENSG00000196415,19,19p13.3,proteinase 3,protein-coding
4537,5660,PSAP,GLBA|SAP1,MIM:176801|HGNC:HGNC:9498|Ensembl:ENSG00000197746,10,10q22.1,prosaposin,protein-coding
4538,5662,PSD,EFA6|EFA6A|PSD1|TYL,MIM:602327|HGNC:HGNC:9507|Ensembl:ENSG00000059915,10,10q24.32,pleckstrin and Sec7 domain containing,protein-coding
4539,5663,PSEN1,ACNINV3|AD3|FAD|PS-1|PS1|S182,MIM:104311|HGNC:HGNC:9508|Ensembl:ENSG00000080815,14,14q24.2,presenilin 1,protein-coding
4540,5664,PSEN2,AD3L|AD4|CMD1V|PS2|STM2,MIM:600759|HGNC:HGNC:9509|Ensembl:ENSG00000143801,1,1q42.13,presenilin 2,protein-coding
4541,5669,PSG1,B1G1|CD66f|DHFRP2|FL-NCA-1/2|PBG1|PS-beta-C/D|PS-beta-G-1|PSBG-1|PSBG1|PSG95|PSGGA|PSGIIA|SP1,MIM:176390|HGNC:HGNC:9514|Ensembl:ENSG00000231924,19,19q13.2,pregnancy specific beta-1-glycoprotein 1,protein-coding
4542,5670,PSG2,CEA|PSBG2|PSG1,MIM:176391|HGNC:HGNC:9519|Ensembl:ENSG00000242221,19,19q13.31,pregnancy specific beta-1-glycoprotein 2,protein-coding
4543,5671,PSG3,-,MIM:176392|HGNC:HGNC:9520|Ensembl:ENSG00000221826,19,19q13.2,pregnancy specific beta-1-glycoprotein 3,protein-coding
4544,5672,PSG4,PSBG-4|PSBG-9|PSG9,MIM:176393|HGNC:HGNC:9521|Ensembl:ENSG00000243137,19,19q13.31,pregnancy specific beta-1-glycoprotein 4,protein-coding
4545,5673,PSG5,FL-NCA-3|PSG,MIM:176394|HGNC:HGNC:9522|Ensembl:ENSG00000204941,19,19q13.31,pregnancy specific beta-1-glycoprotein 5,protein-coding
4546,5675,PSG6,PSBG-10|PSBG-12|PSBG-6|PSG10|PSGGB,MIM:176395|HGNC:HGNC:9523|Ensembl:ENSG00000170848,19,19q13.31,pregnancy specific beta-1-glycoprotein 6,protein-coding
4548,5678,PSG9,PS34|PSBG-11|PSBG-9|PSG11|PSGII,MIM:176398|HGNC:HGNC:9526|Ensembl:ENSG00000183668,19,19q13.31,pregnancy specific beta-1-glycoprotein 9,protein-coding
4549,5680,PSG11,PSBG-11|PSBG-13|PSG13|PSG14,MIM:176401|HGNC:HGNC:9516|Ensembl:ENSG00000243130,19,19q13.31,pregnancy specific beta-1-glycoprotein 11,protein-coding
4550,5681,PSKH1,-,MIM:177015|HGNC:HGNC:9529|Ensembl:ENSG00000159792,16,16q22.1,protein serine kinase H1,protein-coding
4551,5682,PSMA1,HC2|HEL-S-275|NU|PROS30,MIM:602854|HGNC:HGNC:9530|Ensembl:ENSG00000129084,11,11p15.2,proteasome subunit alpha 1,protein-coding
4552,5683,PSMA2,HC3|MU|PMSA2|PSC2,MIM:176842|HGNC:HGNC:9531|Ensembl:ENSG00000106588,7,7p14.1,proteasome subunit alpha 2,protein-coding
4553,5684,PSMA3,HC8|PSC3,MIM:176843|HGNC:HGNC:9532|Ensembl:ENSG00000100567,14,14q23.1,proteasome subunit alpha 3,protein-coding
4554,5685,PSMA4,HC9|HsT17706|PSC9,MIM:176846|HGNC:HGNC:9533|Ensembl:ENSG00000041357,15,15q25.1,proteasome subunit alpha 4,protein-coding
4555,5686,PSMA5,PSC5|ZETA,MIM:176844|HGNC:HGNC:9534|Ensembl:ENSG00000143106,1,1p13.3,proteasome subunit alpha 5,protein-coding
4556,5687,PSMA6,IOTA|PROS27|p27K,MIM:602855|HGNC:HGNC:9535|Ensembl:ENSG00000100902,14,14q13.2,proteasome subunit alpha 6,protein-coding
4557,5688,PSMA7,C6|HEL-S-276|HSPC|RC6-1|XAPC7,MIM:606607|HGNC:HGNC:9536|Ensembl:ENSG00000101182,20,20q13.33,proteasome subunit alpha 7,protein-coding
4558,5689,PSMB1,HC5|PMSB1|PSC5,MIM:602017|HGNC:HGNC:9537|Ensembl:ENSG00000008018,6,6q27,proteasome subunit beta 1,protein-coding
4559,5690,PSMB2,HC7-I,MIM:602175|HGNC:HGNC:9539|Ensembl:ENSG00000126067,1,1p34.3,proteasome subunit beta 2,protein-coding
4560,5691,PSMB3,HC10-II,MIM:602176|HGNC:HGNC:9540|Ensembl:ENSG00000277791,17,17q12,proteasome subunit beta 3,protein-coding
4561,5692,PSMB4,HN3|HsN3|PRAAS3|PROS-26|PROS26,MIM:602177|HGNC:HGNC:9541|Ensembl:ENSG00000159377,1,1q21.3,proteasome subunit beta 4,protein-coding
4562,5693,PSMB5,LMPX|MB1|X,MIM:600306|HGNC:HGNC:9542|Ensembl:ENSG00000100804,14,14q11.2,proteasome subunit beta 5,protein-coding
4563,5694,PSMB6,DELTA|LMPY|Y,MIM:600307|HGNC:HGNC:9543|Ensembl:ENSG00000142507,17,17p13.2,proteasome subunit beta 6,protein-coding
4564,5695,PSMB7,Z,MIM:604030|HGNC:HGNC:9544|Ensembl:ENSG00000136930,9,9q33.3,proteasome subunit beta 7,protein-coding
4565,5696,PSMB8,ALDD|D6S216|D6S216E|JMP|LMP7|NKJO|PRAAS1|PSMB5i|RING10,MIM:177046|HGNC:HGNC:9545|Ensembl:ENSG00000204264,6,6p21.32,proteasome subunit beta 8,protein-coding
4566,5697,PYY,PYY-I|PYY1,MIM:600781|HGNC:HGNC:9748|Ensembl:ENSG00000131096,17,17q21.31,peptide YY,protein-coding
4567,5698,PSMB9,LMP2|PRAAS3|PSMB6i|RING12|beta1i,MIM:177045|HGNC:HGNC:9546|Ensembl:ENSG00000240065,6,6p21.32,proteasome subunit beta 9,protein-coding
4568,5699,PSMB10,LMP10|MECL1|beta2i,MIM:176847|HGNC:HGNC:9538|Ensembl:ENSG00000205220,16,16q22.1,proteasome subunit beta 10,protein-coding
4569,5700,PSMC1,P26S4|S4|p56,MIM:602706|HGNC:HGNC:9547|Ensembl:ENSG00000100764,14,14q32.11,"proteasome 26S subunit, ATPase 1",protein-coding
4570,5701,PSMC2,MSS1|Nbla10058|S7,MIM:154365|HGNC:HGNC:9548|Ensembl:ENSG00000161057,7,7q22.1,"proteasome 26S subunit, ATPase 2",protein-coding
4571,5702,PSMC3,TBP1,MIM:186852|HGNC:HGNC:9549|Ensembl:ENSG00000165916,11,11p11.2,"proteasome 26S subunit, ATPase 3",protein-coding
4573,5704,PSMC4,MIP224|RPT3|S6|TBP-7|TBP7,MIM:602707|HGNC:HGNC:9551|Ensembl:ENSG00000013275,19,19q13.2,"proteasome 26S subunit, ATPase 4",protein-coding
4574,5705,PSMC5,S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG,MIM:601681|HGNC:HGNC:9552|Ensembl:ENSG00000087191,17,17q23.3,"proteasome 26S subunit, ATPase 5",protein-coding
4575,5706,PSMC6,SUG2|p42,MIM:602708|HGNC:HGNC:9553|Ensembl:ENSG00000100519,14,14q22.1,"proteasome 26S subunit, ATPase 6",protein-coding
4576,5707,PSMD1,P112|Rpn2|S1,MIM:617842|HGNC:HGNC:9554|Ensembl:ENSG00000173692,2,2q37.1,"proteasome 26S subunit, non-ATPase 1",protein-coding
4577,5708,PSMD2,P97|RPN1|S2|TRAP2,MIM:606223|HGNC:HGNC:9559|Ensembl:ENSG00000175166,3,3q27.1,"proteasome 26S subunit, non-ATPase 2",protein-coding
4578,5709,PSMD3,P58|RPN3|S3|TSTA2,MIM:617676|HGNC:HGNC:9560|Ensembl:ENSG00000108344,17,17q21.1,"proteasome 26S subunit, non-ATPase 3",protein-coding
4579,5710,PSMD4,AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5,MIM:601648|HGNC:HGNC:9561|Ensembl:ENSG00000159352,1,1q21.3,"proteasome 26S subunit, non-ATPase 4",protein-coding
4580,5711,PSMD5,S5B,MIM:604452|HGNC:HGNC:9563|Ensembl:ENSG00000095261,9,9q33.2,"proteasome 26S subunit, non-ATPase 5",protein-coding
4581,5713,PSMD7,MOV34|P40|Rpn8|S12,MIM:157970|HGNC:HGNC:9565|Ensembl:ENSG00000103035,16,16q23.1,"proteasome 26S subunit, non-ATPase 7",protein-coding
4582,5714,PSMD8,HEL-S-91n|HIP6|HYPF|Nin1p|Rpn12|S14|p31,MIM:617844|HGNC:HGNC:9566|Ensembl:ENSG00000099341,19,19q13.2,"proteasome 26S subunit, non-ATPase 8",protein-coding
4583,5715,PSMD9,Rpn4|p27,MIM:603146|HGNC:HGNC:9567|Ensembl:ENSG00000110801,12,12q24.31,"proteasome 26S subunit, non-ATPase 9",protein-coding
4584,5716,PSMD10,dJ889N15.2|p28|p28(GANK),MIM:300880|HGNC:HGNC:9555|Ensembl:ENSG00000101843,X,Xq22.3,"proteasome 26S subunit, non-ATPase 10",protein-coding
4585,5717,PSMD11,Rpn6|S9|p44.5,MIM:604449|HGNC:HGNC:9556|Ensembl:ENSG00000108671,17,17q11.2,"proteasome 26S subunit, non-ATPase 11",protein-coding
4586,5718,PSMD12,Rpn5|STISS|p55,MIM:604450|HGNC:HGNC:9557|Ensembl:ENSG00000197170,17,17q24.2,"proteasome 26S subunit, non-ATPase 12",protein-coding
4587,5719,PSMD13,HSPC027|Rpn9|S11|p40.5,MIM:603481|HGNC:HGNC:9558|Ensembl:ENSG00000185627,11,11p15.5,"proteasome 26S subunit, non-ATPase 13",protein-coding
4588,5720,PSME1,HEL-S-129m|IFI5111|PA28A|PA28alpha|REGalpha,MIM:600654|HGNC:HGNC:9568|Ensembl:ENSG00000092010,14,14q12,proteasome activator subunit 1,protein-coding
